Unnamed: 0,OrigCode,DestCode,Origin,Destination,Trips,Dist,Persons 2011_x,OriPop19,DestEmp19,Ourban,Durban,Inc19_x,region,Inc19_y,lon-origin,lat-origin,lon-dist,lat-dist
27,30111.0,30102.0,Stovner Oslo,Grünerløkka Oslo,3744,8757.24585569651,17580,19116,29560.0,5.04,3.65,489000,30102,450000,10.9228232,59.9621403,10.777421166334747,59.92547125
28,30112.0,30102.0,Alna Oslo,Grünerløkka Oslo,9082,4935.876495534908,29231,30341,29560.0,9.23,3.65,477000,30102,450000,10.8352756,59.9324168,10.777421166334747,59.92547125
29,30113.0,30102.0,Østensjø Oslo,Grünerløkka Oslo,6616,4934.923286770902,27005,30474,29560.0,7.66,3.65,539000,30102,450000,10.83274792453087,59.8875633,10.777421166334747,59.92547125
30,30114.0,30102.0,Nordstrand Oslo,Grünerløkka Oslo,6351,6095.001400873534,27713,30471,29560.0,11.83,3.65,607000,30102,450000,10.7861425,59.8645605,10.777421166334747,59.92547125
31,30115.0,30102.0,Søndre Nordstrand Oslo,Grünerløkka Oslo,3876,10453.468868571292,21953,23438,29560.0,6.16,3.65,539000,30102,450000,10.798495515727911,59.83594385,10.777421166334747,59.92547125
32,30116.0,30102.0,Sentrum Oslo,Grünerløkka Oslo,9569,2752.2890698242704,825,1264,29560.0,1.4,3.65,335000,30102,450000,10.7531379,59.9110251,10.777421166334747,59.92547125
33,30117.0,30102.0,Marka Oslo,Grünerløkka Oslo,661,10546.749789837548,1014,1035,29560.0,5.699999999999999,3.65,625000,30102,450000,10.671005191490298,60.040261650000005,10.777421166334747,59.92547125
34,30101.0,30103.0,Gamle Oslo,Sagene Oslo,9668,4797.635233691764,32642,41736,19408.0,4.75,2.34,453000,30103,461000,10.73476733965368,59.8992367,10.765848812662396,59.93827295
35,30102.0,30103.0,Grünerløkka Oslo,Sagene Oslo,15488,1629.54121405631,36931,47824,19408.0,3.65,2.34,450000,30103,461000,10.777421166334747,59.92547125,10.765848812662396,59.93827295
36,30103.0,30103.0,Sagene Oslo,Sagene Oslo,31938,0.0,27199,33852,19408.0,2.34,2.34,461000,30103,461000,10.765848812662396,59.93827295,10.765848812662396,59.93827295
