,OrigCode,DestCode,Origin,Destination,Trips,Simulated_Trips
73,30105.0,30106.0,Frogner Oslo,Ullern Oslo,12645.0,12645.0
74,30105.0,30107.0,Frogner Oslo,Vestre Aker Oslo,14795.0,14795.0
75,30105.0,30108.0,Frogner Oslo,Nordre Aker Oslo,13840.0,13840.0
76,30105.0,30109.0,Frogner Oslo,Bjerke Oslo,5101.0,5101.0
77,30105.0,30110.0,Frogner Oslo,Grorud Oslo,3352.0,3352.0
78,30105.0,30111.0,Frogner Oslo,Stovner Oslo,3225.0,3225.0
79,30105.0,30112.0,Frogner Oslo,Alna Oslo,7528.0,7528.0
80,30105.0,30113.0,Frogner Oslo,Østensjø Oslo,6848.0,6848.0
81,30105.0,30114.0,Frogner Oslo,Nordstrand Oslo,8486.0,8486.0
82,30105.0,30115.0,Frogner Oslo,Søndre Nordstrand Oslo,4208.0,4208.0
83,30105.0,30116.0,Frogner Oslo,Sentrum Oslo,14508.0,14508.0
84,30105.0,30117.0,Frogner Oslo,Marka Oslo,711.0,711.0
85,30106.0,30101.0,Ullern Oslo,Gamle Oslo,5644.0,5474.5
86,30106.0,30102.0,Ullern Oslo,Grünerløkka Oslo,5510.0,5510.0
87,30106.0,30103.0,Ullern Oslo,Sagene Oslo,3964.0,3964.0
88,30106.0,30104.0,Ullern Oslo,St. Hanshaugen Oslo,5706.0,5706.0
89,30106.0,30105.0,Ullern Oslo,Frogner Oslo,12633.0,12633.0
90,30106.0,30106.0,Ullern Oslo,Ullern Oslo,26358.0,26358.0
91,30106.0,30107.0,Ullern Oslo,Vestre Aker Oslo,8621.0,8621.0
92,30106.0,30108.0,Ullern Oslo,Nordre Aker Oslo,6185.0,6185.0
93,30106.0,30109.0,Ullern Oslo,Bjerke Oslo,2397.0,2397.0
94,30106.0,30110.0,Ullern Oslo,Grorud Oslo,1431.0,1431.0
95,30106.0,30111.0,Ullern Oslo,Stovner Oslo,1367.0,1367.0
96,30106.0,30112.0,Ullern Oslo,Alna Oslo,3386.0,3386.0
