,OrigCode,DestCode,Origin,Destination,Trips,Simulated_Trips
77,30110.0,30105.0,Grorud Oslo,Frogner Oslo,3488,3488.0
78,30111.0,30105.0,Stovner Oslo,Frogner Oslo,3264,3264.0
79,30112.0,30105.0,Alna Oslo,Frogner Oslo,7587,7587.0
80,30113.0,30105.0,Østensjø Oslo,Frogner Oslo,6983,6983.0
81,30114.0,30105.0,Nordstrand Oslo,Frogner Oslo,8715,8715.0
82,30115.0,30105.0,Søndre Nordstrand Oslo,Frogner Oslo,4421,4421.0
83,30116.0,30105.0,Sentrum Oslo,Frogner Oslo,13480,13480.0
84,30117.0,30105.0,Marka Oslo,Frogner Oslo,657,657.0
85,30101.0,30106.0,Gamle Oslo,Ullern Oslo,5653,7249.0
86,30102.0,30106.0,Grünerløkka Oslo,Ullern Oslo,5328,5328.0
87,30103.0,30106.0,Sagene Oslo,Ullern Oslo,4047,4047.0
88,30104.0,30106.0,St. Hanshaugen Oslo,Ullern Oslo,5378,5378.0
89,30105.0,30106.0,Frogner Oslo,Ullern Oslo,12645,12645.0
90,30106.0,30106.0,Ullern Oslo,Ullern Oslo,26358,26358.0
91,30107.0,30106.0,Vestre Aker Oslo,Ullern Oslo,8634,8634.0
92,30108.0,30106.0,Nordre Aker Oslo,Ullern Oslo,6102,6102.0
93,30109.0,30106.0,Bjerke Oslo,Ullern Oslo,2412,2412.0
94,30110.0,30106.0,Grorud Oslo,Ullern Oslo,1479,1479.0
95,30111.0,30106.0,Stovner Oslo,Ullern Oslo,1325,1325.0
96,30112.0,30106.0,Alna Oslo,Ullern Oslo,3485,3485.0
97,30113.0,30106.0,Østensjø Oslo,Ullern Oslo,3173,3173.0
98,30114.0,30106.0,Nordstrand Oslo,Ullern Oslo,3656,3656.0
99,30115.0,30106.0,Søndre Nordstrand Oslo,Ullern Oslo,1808,1808.0
100,30116.0,30106.0,Sentrum Oslo,Ullern Oslo,3552,3552.0
101,30117.0,30106.0,Marka Oslo,Ullern Oslo,508,508.0
102,30101.0,30107.0,Gamle Oslo,Vestre Aker Oslo,6155,6170.8
103,30102.0,30107.0,Grünerløkka Oslo,Vestre Aker Oslo,6017,6017.0
104,30103.0,30107.0,Sagene Oslo,Vestre Aker Oslo,4572,4572.0
105,30104.0,30107.0,St. Hanshaugen Oslo,Vestre Aker Oslo,7374,7374.0
106,30105.0,30107.0,Frogner Oslo,Vestre Aker Oslo,14795,14795.0
107,30106.0,30107.0,Ullern Oslo,Vestre Aker Oslo,8621,8621.0
108,30107.0,30107.0,Vestre Aker Oslo,Vestre Aker Oslo,41169,41169.0
109,30108.0,30107.0,Nordre Aker Oslo,Vestre Aker Oslo,8739,8739.0
110,30109.0,30107.0,Bjerke Oslo,Vestre Aker Oslo,2829,2829.0
111,30110.0,30107.0,Grorud Oslo,Vestre Aker Oslo,1544,1544.0
112,30111.0,30107.0,Stovner Oslo,Vestre Aker Oslo,1429,1429.0
113,30112.0,30107.0,Alna Oslo,Vestre Aker Oslo,4345,4345.0
114,30113.0,30107.0,Østensjø Oslo,Vestre Aker Oslo,3216,3216.0
115,30114.0,30107.0,Nordstrand Oslo,Vestre Aker Oslo,3632,3632.0
116,30115.0,30107.0,Søndre Nordstrand Oslo,Vestre Aker Oslo,1905,1905.0
117,30116.0,30107.0,Sentrum Oslo,Vestre Aker Oslo,4488,4488.0
118,30117.0,30107.0,Marka Oslo,Vestre Aker Oslo,1278,1278.0
119,30101.0,30108.0,Gamle Oslo,Nordre Aker Oslo,9544,6969.4
120,30102.0,30108.0,Grünerløkka Oslo,Nordre Aker Oslo,11666,11666.0
121,30103.0,30108.0,Sagene Oslo,Nordre Aker Oslo,13830,13830.0
122,30104.0,30108.0,St. Hanshaugen Oslo,Nordre Aker Oslo,11459,11459.0
123,30105.0,30108.0,Frogner Oslo,Nordre Aker Oslo,13840,13840.0
124,30106.0,30108.0,Ullern Oslo,Nordre Aker Oslo,6185,6185.0
125,30107.0,30108.0,Vestre Aker Oslo,Nordre Aker Oslo,8673,8673.0
126,30108.0,30108.0,Nordre Aker Oslo,Nordre Aker Oslo,45548,45548.0
127,30109.0,30108.0,Bjerke Oslo,Nordre Aker Oslo,5961,5961.0
128,30110.0,30108.0,Grorud Oslo,Nordre Aker Oslo,3430,3430.0
129,30111.0,30108.0,Stovner Oslo,Nordre Aker Oslo,3161,3161.0
130,30112.0,30108.0,Alna Oslo,Nordre Aker Oslo,6978,6978.0
131,30113.0,30108.0,Østensjø Oslo,Nordre Aker Oslo,5873,5873.0
132,30114.0,30108.0,Nordstrand Oslo,Nordre Aker Oslo,5814,5814.0
133,30115.0,30108.0,Søndre Nordstrand Oslo,Nordre Aker Oslo,2989,2989.0
134,30116.0,30108.0,Sentrum Oslo,Nordre Aker Oslo,5524,5524.0
135,30117.0,30108.0,Marka Oslo,Nordre Aker Oslo,1474,1474.0
136,30101.0,30109.0,Gamle Oslo,Bjerke Oslo,6256,5677.6
137,30102.0,30109.0,Grünerløkka Oslo,Bjerke Oslo,7503,7503.0
138,30103.0,30109.0,Sagene Oslo,Bjerke Oslo,4755,4755.0
139,30104.0,30109.0,St. Hanshaugen Oslo,Bjerke Oslo,4259,4259.0
140,30105.0,30109.0,Frogner Oslo,Bjerke Oslo,5101,5101.0
141,30106.0,30109.0,Ullern Oslo,Bjerke Oslo,2397,2397.0
142,30107.0,30109.0,Vestre Aker Oslo,Bjerke Oslo,2941,2941.0
143,30108.0,30109.0,Nordre Aker Oslo,Bjerke Oslo,5834,5834.0
144,30109.0,30109.0,Bjerke Oslo,Bjerke Oslo,22174,22174.0
145,30110.0,30109.0,Grorud Oslo,Bjerke Oslo,3784,3784.0
146,30111.0,30109.0,Stovner Oslo,Bjerke Oslo,3466,3466.0
147,30112.0,30109.0,Alna Oslo,Bjerke Oslo,9254,9254.0
148,30113.0,30109.0,Østensjø Oslo,Bjerke Oslo,4172,4172.0
149,30114.0,30109.0,Nordstrand Oslo,Bjerke Oslo,3368,3368.0
150,30115.0,30109.0,Søndre Nordstrand Oslo,Bjerke Oslo,2097,2097.0
151,30116.0,30109.0,Sentrum Oslo,Bjerke Oslo,2874,2874.0
152,30117.0,30109.0,Marka Oslo,Bjerke Oslo,421,421.0
153,30101.0,30110.0,Gamle Oslo,Grorud Oslo,4021,3605.1
154,30102.0,30110.0,Grünerløkka Oslo,Grorud Oslo,3918,3918.0
155,30103.0,30110.0,Sagene Oslo,Grorud Oslo,2484,2484.0
156,30104.0,30110.0,St. Hanshaugen Oslo,Grorud Oslo,2641,2641.0
157,30105.0,30110.0,Frogner Oslo,Grorud Oslo,3352,3352.0
158,30106.0,30110.0,Ullern Oslo,Grorud Oslo,1431,1431.0
159,30107.0,30110.0,Vestre Aker Oslo,Grorud Oslo,1491,1491.0
160,30108.0,30110.0,Nordre Aker Oslo,Grorud Oslo,3396,3396.0
161,30109.0,30110.0,Bjerke Oslo,Grorud Oslo,3746,3746.0
162,30110.0,30110.0,Grorud Oslo,Grorud Oslo,15334,15334.0
163,30111.0,30110.0,Stovner Oslo,Grorud Oslo,4796,4796.0
164,30112.0,30110.0,Alna Oslo,Grorud Oslo,6432,6432.0
165,30113.0,30110.0,Østensjø Oslo,Grorud Oslo,2543,2543.0
166,30114.0,30110.0,Nordstrand Oslo,Grorud Oslo,1861,1861.0
167,30115.0,30110.0,Søndre Nordstrand Oslo,Grorud Oslo,1293,1293.0
168,30116.0,30110.0,Sentrum Oslo,Grorud Oslo,2000,2000.0
169,30117.0,30110.0,Marka Oslo,Grorud Oslo,240,240.0
170,30101.0,30111.0,Gamle Oslo,Stovner Oslo,4182,2595.3
171,30102.0,30111.0,Grünerløkka Oslo,Stovner Oslo,3956,3956.0
172,30103.0,30111.0,Sagene Oslo,Stovner Oslo,1978,1978.0
173,30104.0,30111.0,St. Hanshaugen Oslo,Stovner Oslo,2443,2443.0
174,30105.0,30111.0,Frogner Oslo,Stovner Oslo,3225,3225.0
175,30106.0,30111.0,Ullern Oslo,Stovner Oslo,1367,1367.0
176,30107.0,30111.0,Vestre Aker Oslo,Stovner Oslo,1421,1421.0
177,30108.0,30111.0,Nordre Aker Oslo,Stovner Oslo,3027,3027.0
178,30109.0,30111.0,Bjerke Oslo,Stovner Oslo,3510,3510.0
179,30110.0,30111.0,Grorud Oslo,Stovner Oslo,4928,4928.0
180,30111.0,30111.0,Stovner Oslo,Stovner Oslo,19358,19358.0
181,30112.0,30111.0,Alna Oslo,Stovner Oslo,7398,7398.0
182,30113.0,30111.0,Østensjø Oslo,Stovner Oslo,2246,2246.0
